time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
148,0.6182999,0.8828377,1.5877868,0.69392073,1.0307043,2.4662318,0.88314915,0.6968285,1.3613709,0.59956616,1.52955,0.87390685,1.4860904,0.49330032,1.7726954,1.1572511,0.575235,0.5144953,1.7735883,1.3443507,1.8291773,0.6997881,0.77604234,1.3120131,,,,
149,0.22045499,0.098259225,0.049337305,0.076565765,0.75594807,0.084644996,0.35952574,0.79500455,0.03000115,0.31013653,0.62015885,0.15682846,1.5908711,0.06294115,0.3901188,0.15036923,0.074416146,0.7767068,0.53615767,0.48838848,0.51364386,0.1531627,0.021194998,0.025535766,,,,
150,0.35526803,0.30525577,0.6304707,0.6867034,0.6676373,0.70186496,0.119464606,0.0064696143,0.18316382,0.42885348,0.19605115,0.009034615,0.8561907,0.3372196,0.045256153,0.15412848,0.46450388,0.29190114,0.089588076,0.03343846,0.29054078,0.68635046,0.6906081,0.49686226,,,,
151,0.056502692,0.22738154,0.68788725,0.19586423,0.44552076,1.2467664,0.6778661,0.46276963,0.22529422,0.016594615,1.1544057,0.65243423,0.43388999,0.2253773,0.06241154,0.8858491,0.3516023,0.77840996,0.2285342,0.79498386,0.4678892,0.79787076,0.6660381,0.23662382,,,,
152,0.5949242,0.13896692,1.2584285,0.9527469,1.1566799,0.68219656,0.1474823,0.291735,0.23768306,0.49149343,0.82669836,0.27962655,0.31512114,1.3127505,0.33271268,0.56134033,1.3319931,0.38623503,0.5884442,1.2560399,0.5327515,0.24038306,0.57249343,2.3495193,,,,
153,1.1399399,1.3966165,0.532575,1.5151672,1.0720142,0.86363643,1.524555,0.6627254,1.215623,0.45264462,1.1489849,0.70957035,0.9374711,1.112317,1.358453,0.7187192,0.69619495,1.1563269,0.52884686,0.8300111,1.5495299,0.9599435,0.33090577,1.02897,,,,
154,0.7239531,0.96695316,2.2976794,1.5472349,1.6200624,1.177958,1.1786122,3.799554,0.7453557,1.2853141,1.9131576,2.4558992,0.6838684,2.5264106,2.9666977,1.0027487,1.894621,2.253877,2.1168933,1.3987453,2.5643146,0.92873764,1.5068076,1.8427291,0.82824576,2.192213,1.2304732,2.011105
155,2.4762425,4.409744,5.117185,2.5274491,1.8284503,2.2804925,4.705238,2.2772524,2.4276843,2.3907773,2.6519191,3.0623708,3.175387,2.0812325,1.6021073,2.8262663,2.5834742,4.6179657,2.4471035,2.7964833,2.9229264,3.1954916,1.423118,3.1534753,,,,
156,6.570938,3.7481399,4.373034,4.28734,3.601395,3.9168897,6.31341,4.1592665,7.40718,4.415632,2.575966,3.5255039,6.8568997,3.68496,3.4566958,3.859255,3.05667,3.0575006,3.7905715,5.561543,3.4474118,5.3409634,4.0665946,7.1106787,,,,
157,6.8699527,7.35129,7.5341105,6.102654,6.2161365,7.33969,7.050105,7.261162,6.570938,7.388166,6.852828,4.775376,7.5501757,6.868125,5.6071835,5.8180323,7.194337,6.717371,6.7385044,5.9986525,6.17653,7.393161,6.138626,7.0243506,,,,
158,7.904956,7.3626814,6.25535,6.891147,5.942315,6.0806074,6.4227495,6.883878,7.701667,7.4294443,7.802117,7.146339,8.421891,6.068395,4.42558,7.1677938,7.0289307,7.0064373,4.8060827,7.2943196,5.4388075,7.3481016,5.6067886,7.3083286,,,,
159,4.0989633,3.8843448,3.9149065,3.9676082,2.3370473,2.9009733,2.2698588,1.8003184,4.487202,2.7288485,1.9607503,1.5554284,3.3874512,2.8779714,3.6011457,3.1631951,4.463017,3.478327,3.119071,3.0428584,2.2250803,3.9439104,2.7988613,1.9876257,,,,
160,1.1503142,1.058805,0.44869846,0.6949281,0.73037076,1.5400592,1.5507138,0.59466463,1.8886293,1.4403358,0.611955,1.2189254,1.2232246,1.074143,0.93834347,1.0575796,1.138808,1.4911684,0.2706127,1.6524831,1.220535,0.9532349,1.2513461,1.233495,,,,
161,1.3346722,0.30190152,0.72382843,1.5806216,0.14365038,1.0821807,0.45113882,0.51759,1.0565307,1.390853,0.97065,1.0914023,0.9537542,1.0858257,0.71427464,1.3723996,0.78042454,1.265677,0.050168075,1.4576365,0.55170345,0.2985473,0.21202269,0.46218807,,,,
162,0.10436538,0.44524035,0.11015999,1.2254468,0.5315157,0.008027307,0.9092146,0.42185423,0.21522115,0.34393847,0.09944308,0.017934231,0.49736074,0.2693354,0.36988962,0.7741835,0.059711535,0.17122152,0.32620156,0.5784231,0.25205538,0.86497617,0.22724654,1.0570604,,,,
163,0.13868654,0.22911578,0.63458306,0.34392804,0.04762384,0.88864267,0.65915304,0.14141768,0.19017346,0.48180464,0.2481923,0.47668493,0.52726847,0.5081296,0.14979807,0.6685927,0.16889538,0.35810307,0.68616337,0.37964076,0.5872396,1.0250446,0.5214946,0.74010116,,,,
164,0.43964303,1.251533,0.5935846,0.34441614,1.2969658,1.0019387,1.2160072,0.36997268,0.74419266,0.6774196,0.19456615,1.3305392,0.44783655,0.4258523,1.2065054,1.2867888,0.9026724,0.50361234,1.3228856,0.31626347,0.54546225,0.7849522,0.6789046,1.2784708,,,,
165,0.5721092,0.42986074,0.9841084,0.6477403,1.6481838,1.1462849,1.6578311,2.1569364,3.8092325,1.4609596,0.97377574,1.2135149,1.193701,0.5580796,1.0499469,1.4229726,0.6527665,0.8265115,0.37236115,1.4194938,0.4628631,1.6560346,1.057403,1.9274884,,,,
166,3.6681263,1.531741,0.8295542,1.8944135,1.8805083,1.3398335,1.7327042,1.0974772,1.4867343,1.3199989,2.6929486,3.188648,1.1682173,3.189209,1.3216811,2.7489114,2.5429635,2.9945385,1.4968904,2.6735506,3.0437517,0.7309419,2.6070368,1.7151955,2.364795,0.73811764,1.4674499,1.2937258
167,2.8681684,1.8402264,2.7131155,3.861301,3.7222407,5.2465773,3.3031487,2.6619506,4.9381127,2.234053,2.305281,3.073732,5.370788,3.69765,3.5897021,4.2672873,2.9983394,3.5406344,3.1162877,1.8699682,1.6684545,2.8211987,2.5235028,1.1983743,,,,
168,3.3356006,3.8617578,5.6268,3.3102212,4.545107,3.8555064,5.3607664,5.3073587,4.9675746,5.2476163,5.2785,3.2152846,5.4071026,5.0128093,5.3416386,3.5650487,3.9205556,3.6469626,5.7404385,4.697273,6.337928,5.639158,5.769598,3.4423337,,,,
169,5.3149085,6.95766,6.778474,6.7654004,8.493151,7.057603,7.187878,7.269677,7.798556,7.1522794,7.548805,6.6767263,6.3969336,6.392074,8.2353735,8.366604,6.2749763,7.5087514,4.90186,7.668187,7.3806577,5.0923557,7.2233934,4.9816866,,,,
170,9.46135,8.017099,4.31433,6.80455,6.1613164,7.0590353,4.743474,6.5758915,6.501444,6.1010547,6.691566,6.896444,6.861717,5.9279532,6.3504205,5.011314,7.745136,6.318519,5.988091,7.1276255,7.4056845,5.9086795,5.510025,6.799098,,,,
171,2.1894403,3.7198415,4.6423903,2.2553618,2.0400577,4.293924,2.774489,3.4539754,3.0892777,1.4569405,2.9037669,2.9773836,4.5072865,3.4193838,3.1999674,1.6872714,4.256633,2.347463,4.540995,2.0626235,2.2351327,3.1213138,3.2970529,3.5364077,,,,
172,1.26549,0.60656536,1.0456061,0.5001231,1.3545171,1.114425,0.6667234,1.4891123,0.8325138,2.4182134,0.33403152,0.2999492,1.1256922,0.6615727,0.14349462,0.9527573,0.9862372,1.1702735,0.9065769,0.17245731,0.8692338,1.0325838,0.69613266,1.0085641,,,,
173,0.7534662,0.4100261,0.50728846,0.45249924,0.8408319,0.09290077,0.2024896,0.2544127,0.1624673,0.53306305,0.7734565,2.1263435,0.26769462,0.19665346,0.34043884,0.14169808,0.8025127,0.50967693,1.447148,0.89570427,1.6870326,1.3521806,1.4186422,0.20664345,,,,
174,0.5919024,0.53752846,0.07015846,0.14087771,0.20283231,0.4714927,0.31811193,0.45880267,0.2077027,0.132435,0.4476496,0.052182693,0.077853456,0.1540973,0.15947653,0.021184614,0.43738958,0.09005538,0.14422153,0.12693115,0.6847719,0.5788281,0.7620646,0.7187399,,,,
175,0.35257846,0.44838694,0.3118396,0.047260385,0.31459153,0.98330885,0.26636538,0.9234,0.6045819,0.63348234,0.7143265,0.32248387,0.14250806,0.30020884,0.6641792,0.6530781,0.3313419,0.33088496,0.06458192,0.13902923,0.18592617,0.3617377,0.59227616,0.20157576,,,,
176,0.31356347,0.34490424,0.6064304,1.1963804,0.8807816,0.36918342,0.84044766,0.59999186,0.43722343,1.3605611,0.37040883,1.0241619,0.33913034,0.35446846,0.40225846,1.0659703,0.65517575,0.5252123,0.4782219,0.25114152,0.54274154,0.5439565,0.39567456,0.7821692,,,,
177,0.3610004,1.4788522,0.9668804,1.3346931,2.7253904,0.93173885,2.8431623,0.7506312,1.3397609,0.25566924,1.437615,1.0771441,0.90824884,2.4464285,1.2574521,0.8597735,1.2309818,1.5281583,0.86037576,0.91880995,1.8296549,1.3870938,0.46186608,1.7727369,,,,
178,1.3366039,2.6673923,1.539571,2.541832,3.4309833,3.0952592,2.948888,2.6572359,1.3469676,2.09115,1.6497104,0.71222883,2.4530642,2.6389694,1.3144534,1.7671708,0.83260727,1.5169015,1.2109189,1.9969615,2.663394,0.84099805,1.0558454,1.5761664,2.2553203,1.542136,1.0360522,0.7795834
179,4.6113505,2.949511,1.9385581,1.6043712,2.283712,4.8373303,2.4561276,2.683416,1.6682677,2.5812416,3.3675647,2.2187145,4.4083834,1.0220746,2.7132716,3.9143767,2.97405,2.56014,2.8975673,3.3252885,4.181729,2.9895854,2.9202576,1.9179657,,,,
180,5.5279074,5.596851,4.960201,5.8600698,5.738206,5.4229913,4.582409,4.192861,3.3718326,6.1221876,4.80006,6.0864334,6.0529737,4.832304,5.635024,4.7112713,6.413902,3.5534182,5.288376,6.0961432,4.782728,4.2834044,5.555832,3.2674255,,,,
181,7.610645,7.450816,7.3954763,7.8384323,7.4862065,7.759446,7.420316,7.492521,6.6118946,7.497661,8.490793,7.2698536,8.713098,8.569395,6.639985,6.7937503,8.198591,6.8294215,6.9542546,6.2207994,8.393241,8.989089,7.7110853,7.29433,,,,
182,6.8098674,7.0887146,7.3905435,6.925812,6.9588037,6.119238,6.642186,7.5434995,8.484501,7.9696627,7.131073,8.631069,7.2502995,6.8384557,6.8831306,8.188861,6.129945,7.34319,5.7199183,5.07006,7.6379995,4.956691,6.224289,7.3037906,,,,
183,4.0615683,2.8252904,4.0394907,4.6520586,6.0236583,2.6276398,5.0002956,7.6165442,5.9562626,4.0425334,5.6117,5.3362174,4.5889096,4.593572,4.927801,5.838916,5.175578,4.734398,5.14324,6.0977106,5.117819,3.5491185,4.968623,5.5467763,,,,
184,1.4621332,0.89027303,0.85292995,1.8176296,1.3416091,1.5764885,0.5976346,1.2497054,1.1982391,1.4961115,0.96891564,1.7312194,1.0731981,0.83158964,1.4737016,1.3737392,1.5467676,2.2277803,0.9921046,1.5771947,0.7934781,0.36381462,1.8546093,1.2461123,,,,
185,0.3016315,0.62236035,0.55045736,0.36579806,0.03210923,0.36733496,0.090668075,0.48460844,0.90032536,0.15349498,0.699248,0.22389229,0.048028845,0.50518036,0.31685537,0.13376422,0.29926383,0.6622373,0.28371805,0.03861,0.03713538,0.42802268,0.65436566,0.49850306,,,,
186,0.39623535,0.2796369,0.050344612,0.71230155,1.0306627,0.10132269,0.023676923,0.08782268,0.1613873,0.71337116,0.8337184,0.36487386,0.30020884,0.8854857,0.8214126,1.1866914,0.019834615,0.121551916,0.11640115,0.7518046,0.45067155,0.0008203845,0.003956538,0.16790885,,,,
